	Description	mean_Catrapid	rank_Catrapid	domain_score	Secretion_nonfused	Secretion_fused	Orignial_rank	final_score	final_rank
CP003496.1_prot_D7S_00002_1	hypothetical protein	0.01986631970971607	1224.0	-0.11747112433839259	False	False	1027.0	0.2708347227380692	1602.0
CP003496.1_prot_D7S_00003_2	molybdenum cofactor biosynthesis protein A	-0.0364541809496311	1386.0	0.00898726182806993	False	False	884.0	0.3163335886646516	1537.0
CP003496.1_prot_D7S_00004_3	molybdenum cofactor biosynthesis protein C	0.3718930419923505	373.0	0.03635890671253709	False	False	1720.0	0.8499521101108379	549.0
CP003496.1_prot_D7S_00005_4	molybdopterin converting factor, subunit 1	0.42568191962234025	278.0	0.005417981587267126	False	False	1796.0	0.8664874468546334	520.0
CP003496.1_prot_D7S_00006_5	molybdopterin converting factor, subunit 2	0.3407265210673329	436.0	0.04992221283484775	False	False	1675.0	0.8320311583620842	583.0
CP003496.1_prot_D7S_00007_6	Gst protein	-0.02377480763039913	1357.0	-0.12599662420290955	False	False	906.0	0.19584245625686056	1724.0
CP003496.1_prot_D7S_00008_7	stringent starvation protein B	0.14002098185478626	932.0	0.11547675549097043	False	False	208.0	0.6497096390491913	940.0
CP003496.1_prot_D7S_00009_8	asparaginyl-tRNA synthetase	-0.3055881602372762	1832.0	0.29422876163242273	False	False	9.0	0.3786865327468655	1426.0
CP003496.1_prot_D7S_00011_10	NagC-like transcriptional regulator Mlc	0.07419236387603496	1101.0	0.023904745755204095	False	False	1132.0	0.4736798581989822	1265.0
CP003496.1_prot_D7S_00012_11	dethiobiotin synthase	-0.297884846963912	1820.0	0.06048823498448069	False	False	522.0	0.15094300759817386	1793.0
CP003496.1_prot_D7S_00013_12	L-ribulokinase	0.7117177926337385	22.0	0.35213291832377736	False	False	93.0	1.3411384155751516	27.0
CP003496.1_prot_D7S_00014_13	DeoR family transcriptional regulator	0.23383061294335575	694.0	0.35366380758595917	False	False	243.0	1.0068372208793126	291.0
CP003496.1_prot_D7S_00015_14	ribose import ATP-binding protein RbsA	-0.06099870810728307	1448.0	-0.22458908625149565	False	False	838.0	0.05177273283895911	1915.0
