	Description	Secretion_orignial	Orignial_rank	Secretion 0.01	Rank 0.01	Secretion 0.025	Rank 0.025	Secretion 0.05	Rank 0.05	Secretion 0.1	Rank 0.1	Secretion 0.125	Rank 0.125	Secretion 0.15	Rank 0.15
CP003496.1_prot_D7S_00002_1	hypothetical protein	False	1027.0	False	1326.0	False	1310.0	False	1435.0	False	1411.0	False	1365.0	False	1602.0
CP003496.1_prot_D7S_00003_2	molybdenum cofactor biosynthesis protein A	False	884.0	False	1400.0	False	1381.0	False	1389.0	False	1269.0	False	1467.0	False	1537.0
CP003496.1_prot_D7S_00004_3	molybdenum cofactor biosynthesis protein C	False	1720.0	False	520.0	False	617.0	False	685.0	False	589.0	False	528.0	False	549.0
CP003496.1_prot_D7S_00005_4	molybdopterin converting factor, subunit 1	False	1796.0	False	388.0	False	464.0	False	490.0	False	491.0	False	567.0	False	520.0
CP003496.1_prot_D7S_00006_5	molybdopterin converting factor, subunit 2	False	1675.0	False	424.0	False	490.0	False	499.0	False	456.0	False	424.0	False	583.0
CP003496.1_prot_D7S_00007_6	Gst protein	False	906.0	False	1598.0	False	1616.0	False	1653.0	False	1586.0	False	1625.0	False	1724.0
CP003496.1_prot_D7S_00008_7	stringent starvation protein B	False	208.0	False	889.0	False	931.0	False	902.0	False	841.0	False	1003.0	False	940.0
CP003496.1_prot_D7S_00009_8	asparaginyl-tRNA synthetase	False	9.0	False	1596.0	False	1543.0	False	1420.0	False	1244.0	False	1472.0	False	1426.0
CP003496.1_prot_D7S_00011_10	NagC-like transcriptional regulator Mlc	False	1132.0	False	1083.0	False	1075.0	False	1106.0	False	1277.0	False	1197.0	False	1265.0
CP003496.1_prot_D7S_00012_11	dethiobiotin synthase	False	522.0	False	1566.0	False	1819.0	False	1749.0	False	1773.0	False	1815.0	False	1793.0
CP003496.1_prot_D7S_00013_12	L-ribulokinase	False	93.0	False	58.0	False	88.0	False	90.0	False	126.0	False	72.0	False	27.0
CP003496.1_prot_D7S_00014_13	DeoR family transcriptional regulator	False	243.0	False	627.0	False	626.0	False	518.0	False	530.0	False	506.0	False	291.0
