	Description	mean_Catrapid	rank_Catrapid	domain_score	Secretion_nonfused	Secretion_fused	Orignial_rank	final_score	final_rank
CP003496.1_prot_D7S_00002_1	hypothetical protein	0.020442236471771954	1221.0	0.027143885778573747	False	False	1027.0	0.4169489832298481	1365.0
CP003496.1_prot_D7S_00003_2	molybdenum cofactor biosynthesis protein A	-0.036284572452982916	1387.0	0.05719870482275113	False	False	884.0	0.3640452815343953	1467.0
CP003496.1_prot_D7S_00004_3	molybdenum cofactor biosynthesis protein C	0.3716936028372576	375.0	0.04733675698690052	False	False	1720.0	0.8599304601353264	528.0
CP003496.1_prot_D7S_00005_4	molybdopterin converting factor, subunit 1	0.4254287644594268	276.0	-0.0273188223698607	False	False	1796.0	0.8347501431473806	567.0
CP003496.1_prot_D7S_00006_5	molybdopterin converting factor, subunit 2	0.3400921580302612	438.0	0.13974523885236778	False	False	1675.0	0.9208546841297292	424.0
CP003496.1_prot_D7S_00007_6	Gst protein	-0.024273417874913692	1358.0	-0.044217425348999306	False	False	906.0	0.2771219049858333	1625.0
CP003496.1_prot_D7S_00008_7	stringent starvation protein B	0.13931684676713513	934.0	0.07236851031155297	False	False	208.0	0.6056018936198988	1003.0
CP003496.1_prot_D7S_00009_8	asparaginyl-tRNA synthetase	-0.3049600225101824	1830.0	0.27684310989021216	False	False	9.0	0.36230038125453	1472.0
CP003496.1_prot_D7S_00011_10	NagC-like transcriptional regulator Mlc	0.07450487114152987	1101.0	0.05687105338010469	False	False	1132.0	0.5066461658238828	1197.0
CP003496.1_prot_D7S_00012_11	dethiobiotin synthase	-0.2972179329404587	1820.0	0.05005655373961479	False	False	522.0	0.14051132635330793	1815.0
CP003496.1_prot_D7S_00013_12	L-ribulokinase	0.7115920565129438	22.0	0.22981795265361044	False	False	93.0	1.2188234499049848	72.0
CP003496.1_prot_D7S_00014_13	DeoR family transcriptional regulator	0.23374152946792023	694.0	0.21556907609240883	False	False	243.0	0.8687424893857622	506.0
CP003496.1_prot_D7S_00015_14	ribose import ATP-binding protein RbsA	-0.06051678193428356	1449.0	-0.08537020449596361	False	False	838.0	0.19049186446955363	1759.0
CP003496.1_prot_D7S_00016_15	inner membrane ABC transporter permease protein YdeY	0.5366298295960141	125.0	0.011154182527894574	False	False	1907.0	0.9486854169107032	374.0
CP003496.1_prot_D7S_00017_16	ABC transporter, permease, sugar transport	0.3091004283064227	491.0	-0.010013121698124221	False	True	1623.0	0.744609566957548	726.0
CP003496.1_prot_D7S_00018_17	rhamnose ABC transporter, rhamnose-binding protein	-0.015328156490428738	1335.0	0.27516690969597357	True	True	923.0	0.6080004929043694	997.0
CP003496.1_prot_D7S_00019_18	aldolase	0.03832700797882691	1193.0	0.10978144238365821	True	False	1053.0	0.5135795433331835	1186.0
CP003496.1_prot_D7S_00020_19	autoinducer-2 modifying protein LsrG	0.7089443898038027	24.0	0.0199436228764602	False	False	1982.0	1.0079496198779594	293.0
CP003496.1_prot_D7S_00021_20	pyruvate kinase	-0.25515491546382385	1776.0	-0.061358209025476174	True	False	556.0	0.05108556908546835	1920.0
CP003496.1_prot_D7S_00022_21	ribonucleoside-diphosphate reductase subunit beta	-0.18299427065022383	1667.0	0.36518068370540935	False	False	17.0	0.5320972254345447	1151.0
CP003496.1_prot_D7S_00023_22	ribonucleoside-diphosphate reductase, alpha chain	0.09378863216240295	1055.0	0.443486750352181	False	False	40.0	0.9162503685430856	429.0
CP003496.1_prot_D7S_00024_23	tryptophan synthase, alpha subunit	0.019662835835970466	1223.0	-0.0027711810858015644	False	False	1032.0	0.38603441611559774	1428.0
CP003496.1_prot_D7S_00025_24	tryptophan synthase, beta subunit	-0.11487622452964866	1562.0	0.138427308637949	False	False	742.0	0.3578176134855252	1483.0
CP003496.1_prot_D7S_00026_25	NADP-dependent l-serine/l-allo-threonine dehydrogenase ydfg	-0.2709376883802482	1797.0	-0.12894653937589975	False	False	543.0	-0.026997513888643382	1975.0
CP003496.1_prot_D7S_00027_26	hypothetical protein	0.149896454137564	915.0	0.126429476839033	False	False	1288.0	0.6691581125211918	885.0
CP003496.1_prot_D7S_00029_28	oxaloacetate decarboxylase beta chain	-0.3443752708465578	1866.0	0.029354416042943234	False	True	480.0	0.09682068290950996	1871.0
CP003496.1_prot_D7S_00030_29	oxaloacetate decarboxylase alpha subunit	-0.2270392754047287	1739.0	-0.04841433757550055	False	True	589.0	0.08252019515813262	1888.0
CP003496.1_prot_D7S_00031_30	oxaloacetate decarboxylase gamma chain 3	0.3887582993042491	351.0	0.11274947340011385	False	False	1735.0	0.9373371795470404	392.0
CP003496.1_prot_D7S_00032_31	hypothetical protein	0.459567167677943	224.0	0.05996032954869501	False	False	1834.0	0.948016301562688	375.0
CP003496.1_prot_D7S_00033_32	hydrogenase assembly chaperone HypC/HupF	0.6115877269807788	68.0	0.13991836497335594	False	False	1951.0	1.1059353564776038	167.0
CP003496.1_prot_D7S_00034_33	hydrogenase-2 operon protein HybE	0.16319018078587272	871.0	0.12426687678811872	False	False	215.0	0.688984517967529	850.0
CP003496.1_prot_D7S_00035_34	tryptophan biosynthesis protein trpCF	-0.09475412704993527	1518.0	-0.2617138988341145	False	False	775.0	-0.020334588489286903	1974.0
CP003496.1_prot_D7S_00036_35	plasmid maintenance system antidote protein, XRE family	0.6422698259939685	47.0	0.3088690994804769	False	False	355.0	1.2853808436084129	29.0
CP003496.1_prot_D7S_00037_36	plasmid maintenance system killer	0.5377229417932643	124.0	0.07757625165050028	False	False	1908.0	1.0156072361582464	285.0
CP003496.1_prot_D7S_00038_37	anthranilate phosphoribosyltransferase	0.19727672696282686	783.0	0.07578230368230296	False	False	1393.0	0.6844779558562161	859.0
CP003496.1_prot_D7S_00039_38	anthranilate phosphoribosyltransferase	0.3690789077002733	380.0	0.021923134405647107	False	False	1713.0	0.8320180869293852	573.0
