	Description	Secretion	SignalP	RNA binding domain	Diff exp	S4TE;promotor_motif	S4TE;homology	S4TE;Eukaryotic_domains	S4TE;Prokaryotic_domains	S4TE;Nuclear_localization_signal	S4TE;Prenylation	S4TE;Coiled_coils	S4TE;C_basicity	S4TE;C_charge	S4TE;C_hidrofilnost	S4TE;hidrofilnost	S4TE;E-block	S4TE Score	CatRapid mean	CatRapid max	CatRapid max (STAR, all)	CatRapid mean (STAR, all)	CatRapid max (Z-score, all)	CatRapid mean (Z-score, all)	CatRapid count Z-score > 2 (all)
CP003496.1_prot_D7S_00002_1	hypothetical protein	0.0	0.158	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.01840566436522474	3.92	0.13	0.06119267705945866	0.13	0.06119267705945866	0
CP003496.1_prot_D7S_00003_2	molybdenum cofactor biosynthesis protein A	0.0	0.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	-0.03590742567281951	3.6	0.3	0.13134648532949447	4.83	-0.06353020286780445	9285
CP003496.1_prot_D7S_00004_3	molybdenum cofactor biosynthesis protein C	0.0	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.3726588699450472	4.74	0.08	0.03588468168128351	6.97	0.34355397495880136	27314
CP003496.1_prot_D7S_00005_4	molybdopterin converting factor, subunit 1	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.42859095392419333	4.18	0.08	0.0340264807834372	6.58	0.38723419771560613	29842
CP003496.1_prot_D7S_00006_5	molybdopterin converting factor, subunit 2	0.0	0.092	0.0	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.34169860504438493	5.02	0.13	0.05505568920121987	7.61	0.32101642263178826	26040
CP003496.1_prot_D7S_00007_6	Gst protein	0.0	0.16	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	-0.02284556855009159	3.18	0.04	0.019866080730399863	5.34	-0.04210577159850737	7064
CP003496.1_prot_D7S_00008_7	stringent starvation protein B	0.0	0.159	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.14042553191489363	4.52	0.63	0.5566905650370315	6.31	0.12592474381073246	15641
CP003496.1_prot_D7S_00009_8	asparaginyl-tRNA synthetase	0.0	0.172	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	-0.3065774270818656	3.17	2.0	1.437165249180763	5.05	-0.3204310230522986	3600
CP003496.1_prot_D7S_00011_10	NagC-like transcriptional regulator Mlc	0.0	0.317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0733345075383965	3.44	0.04	0.01719167313848427	5.44	0.04688102589358437	14026
CP003496.1_prot_D7S_00012_11	dethiobiotin synthase	0.0	0.125	0.0	4.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2968162603917148	2.59	0.23	0.10328897770537764	4.7	-0.3021792661905935	2828
CP003496.1_prot_D7S_00013_12	L-ribulokinase	0.0	0.205	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.7110574890798929	8.26	2.0	1.541820980054174	8.26	0.613402250298335	40160
CP003496.1_prot_D7S_00014_13	DeoR family transcriptional regulator	0.0	0.102	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.23486895871494995	4.4	1.5	0.9532933343435682	6.04	0.19632290265754926	21380
CP003496.1_prot_D7S_00015_14	ribose import ATP-binding protein RbsA	0.0	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06033183035085248	4.2	0.35	0.15870958270982893	6.91	-0.10239321500956566	11030
CP003496.1_prot_D7S_00016_15	inner membrane ABC transporter permease protein YdeY	0.0	0.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.5357228406368888	4.89	0.27	0.1254733582103688	6.62	0.47453374500407247	34389
CP003496.1_prot_D7S_00017_16	ABC transporter, permease, sugar transport	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	0.30857545441735945	4.62	0.12	0.059847138825223044	5.54	0.26443761483530015	25043
CP003496.1_prot_D7S_00018_17	rhamnose ABC transporter, rhamnose-binding protein	1.0	0.323	0.0	-5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.016103987600394533	3.19	0.44	0.19146496694637546	5.34	-0.037092606974409484	10564
CP003496.1_prot_D7S_00019_18	aldolase	1.0	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.03602437649711145	3.14	0.26	0.11716676453317676	4.77	0.009416778739605638	10526
CP003496.1_prot_D7S_00020_19	autoinducer-2 modifying protein LsrG	0.0	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.7096864872481331	5.215	0.31	0.14340281855549034	7.54	0.6559651847782849	41566
CP003496.1_prot_D7S_00021_20	pyruvate kinase	1.0	0.125	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	-0.25466041989573057	2.84	0.48	0.2290133161593393	4.89	-0.27532826321671433	6044
CP003496.1_prot_D7S_00022_21	ribonucleoside-diphosphate reductase subunit beta	0.0	0.099	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	-0.17996054670987738	3.7	2.0	1.468946356524539	4.76	-0.19358920690243026	7108
CP003496.1_prot_D7S_00023_22	ribonucleoside-diphosphate reductase, alpha chain	0.0	0.092	1.0	-2.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09080526983232351	6.59	2.0	1.537640501581649	6.59	0.026176765859110097	17524
CP003496.1_prot_D7S_00024_23	tryptophan synthase, alpha subunit	0.0	0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.01972805410736931	4.81	0.12	0.05122269997916393	6.38	0.01172977478074745	12816
CP003496.1_prot_D7S_00025_24	tryptophan synthase, beta subunit	0.0	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	-0.1141566859236297	4.07	0.37	0.1467626389862292	7.54	-0.11873913208190479	11963
CP003496.1_prot_D7S_00026_25	NADP-dependent l-serine/l-allo-threonine dehydrogenase ydfg	0.0	0.183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.27061575313512753	3.53	0.25	0.11257439433258198	5.65	-0.26875475915367575	6287
CP003496.1_prot_D7S_00027_26	hypothetical protein	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.15028603635338875	2.98	0.05	0.021173356316178282	5.34	0.12652065614759533	14655
CP003496.1_prot_D7S_00029_28	oxaloacetate decarboxylase beta chain	0.0	0.074	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.34332323516979	2.59	0.3	0.13729244407402497	4.85	-0.3531965412081147	4580
CP003496.1_prot_D7S_00030_29	oxaloacetate decarboxylase alpha subunit	0.0	0.141	0.0	4.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.22659433563477524	5.86	0.89	0.45565842062394646	8.11	-0.272106055727085	10708
