	Description	Ori_CR (Pr)	Rec_CR (Pr)	Ori_RBP (Pr)	Rec_RBP (Pr)	Orignial_rank	Rec_rank	SignalP_nonfused	SignalP_fused	MS_nonfused	MS_fused	Secretion_nonfused	Secretion_fused
CP003496.1_prot_D7S_00002_1	hypothetical protein	0.3760204412745247	0.3790370009167168	0.0	0.20591864151903844	1337.0	1642.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00003_2	molybdenum cofactor biosynthesis protein A	0.31094942056173075	0.31041079330705157	0.0	0.4829276666534495	1480.0	1363.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00004_3	molybdenum cofactor biosynthesis protein C	0.8152097043588764	0.8130700023916271	0.0	0.15108615747040038	576.0	1069.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00005_4	molybdopterin converting factor, subunit 1	0.8655899327999683	0.8625025632171612	0.0	0.26771833875529133	492.0	768.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00006_5	molybdopterin converting factor, subunit 2	0.7836622566708992	0.7808601722082189	0.0	0.4751040988173921	636.0	554.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00007_6	Gst protein	0.3261280390239607	0.32319758331937376	0.0	0.11943843383434702	1458.0	1798.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00008_7	stringent starvation protein B	0.5348837721384683	0.5331139275392347	0.5	0.5666148461713236	243.0	841.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00009_8	asparaginyl-tRNA synthetase	0.08461844326126754	0.08502499871164328	1.0	0.8884612805528869	230.0	1051.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00011_10	NagC-like transcriptional regulator Mlc	0.4461271856440505	0.4481817567530672	0.0	0.5050991861946166	1232.0	1085.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00012_11	dethiobiotin synthase	0.0897147832357033	0.08972998209088325	0.0	0.5347660836323157	1842.0	1587.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00013_12	L-ribulokinase	0.9897410039315779	0.9898199482012452	1.0	0.699096916308241	2.0	126.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00014_13	DeoR family transcriptional regulator	0.6584479521460718	0.6541590868276395	0.5	0.7577132198134529	200.0	363.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00015_14	ribose import ATP-binding protein RbsA	0.2834650978856222	0.2808706021603219	0.0	0.2912838146185475	1526.0	1652.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00016_15	inner membrane ABC transporter permease protein YdeY	0.93672660342768	0.9377821700889242	0.0	0.08252036398378866	366.0	972.0	False	True	False	True	False	True
CP003496.1_prot_D7S_00017_16	ABC transporter, permease, sugar transport	0.7473051263545776	0.7475003303776611	0.0	0.1858201413593258	694.0	1116.0	False	False	False	True	False	True
CP003496.1_prot_D7S_00018_17	rhamnose ABC transporter, rhamnose-binding protein	0.3340854347131401	0.33808303698941894	0.0	0.9571878861219109	1441.0	497.0	False	True	True	True	True	True
CP003496.1_prot_D7S_00019_18	aldolase	0.39811884047263696	0.40071315209158803	0.0	0.3901471258525939	1311.0	1367.0	False	False	True	False	True	False
CP003496.1_prot_D7S_00020_19	autoinducer-2 modifying protein LsrG	0.9895530307981527	0.989456198095645	0.0	0.3729629291216286	282.0	420.0	False	False	False	False	False	False
CP003496.1_prot_D7S_00021_20	pyruvate kinase	0.11424955862958892	0.11294089284181505	0.0	0.3405315660562979	1808.0	1786.0	False	False	True	True	True	True
